=== ALL visible strings in main window widget tree ===
     gammaBox                     QCheckBox          text             '自定义伽马'
     gammaBox                     QCheckBox          toolTip          '<html><head/><body><p>设置自定义伽马校正。</p><p>默认 1.0（不生效）。<br/>&lt; 1.0 图像变亮。<br/>&gt; 1.0 图像变暗。</p><p>KCC 9.1.0 及更早版'
     mangaBox                     QCheckBox          text             '从右到左（漫画）'
     mangaBox                     QCheckBox          toolTip          "<html><head/><body><p style='white-space:pre'>启用从右到左阅读。</p></body></html>"
     colorBox                     QCheckBox          text             '彩色模式'
     colorBox                     QCheckBox          toolTip          "<html><head/><body><p style='white-space:pre'>不做灰度转换（保留彩色）。</p></body></html>"
     titleEdit                    QLineEdit          placeholder      '默认标题'
     titleEdit                    QLineEdit          toolTip          '<html><head/><body><p>默认标题</p></body></html>'
     coverFillBox                 QCheckBox          text             '封面填充'
     coverFillBox                 QCheckBox          toolTip          '先按宽高比居中裁剪，再把封面缩放到设备精确分辨率。\n根据源图宽高比，可能裁掉上下或左右。Kindle Scribe 不支持此功能。'
     smartCoverCropBox            QCheckBox          text             '智能封面裁剪'
     smartCoverCropBox            QCheckBox          toolTip          '<html><head/><body><p>尝试从宽幅图像中裁出主封面。</p></body></html>'
     spreadShiftBox               QCheckBox          text             '跨页偏移'
     spreadShiftBox               QCheckBox          toolTip          '横向时把首页偏移到另一侧，以对齐跨页'
     onePageLandscapeBox          QCheckBox          text             '单页横向'
     onePageLandscapeBox          QCheckBox          toolTip          '<html><head/><body><p><span style=" font-weight:600; text-decoration: underline;">未勾选 - 横向双页<br/></span>左右两页各用'
     keepComicInfoBox             QCheckBox          text             '保留 ComicInfo.xml'
     keepComicInfoBox             QCheckBox          toolTip          '保留原有的 ComicInfo.xml 文件。\n\n保留该文件可能导致某些阅读器崩溃，例如 Kobo 自带的 CBZ 阅读器。'
     jpegQualityLabel             QLabel             text             'JPEG 质量：'
     qt_spinbox_lineedit          QLineEdit          text             '85'
     labelSpreadsButton           QPushButton        text             '标注跨页'
     labelSpreadsButton           QPushButton        toolTip          '按住 Shift 点击可生成低质量预览。'
     kofiButton                   QPushButton        text             '在 Ko-fi 上支持我'
     editorButton                 QPushButton        text             '元数据编辑器'
     editorButton                 QPushButton        toolTip          "<html><head/><body><p style='white-space:pre'>按住 Shift 点击可编辑目录。</p></body></html>"
     humbleButton                 QPushButton        text             'Humble Bundle 推广'
     expertButton                 QPushButton        text             '简易/专家模式'
     expertButton                 QPushButton        toolTip          '切换简易/专家模式'
     chunkSizeLabel               QLabel             text             '分块大小 MB：'
     qt_spinbox_lineedit          QLineEdit          text             '400'
     chunkSizeWarnLabel           QLabel             text             '高于默认值可能导致老设备出现性能问题。'
     easyLabel                    QLabel             text             '把鼠标悬停在每个选项/按钮上可查看说明！选项支持半选和全选！'
                                  QLabel             text             '<b><a href="https://github.com/ciromattia/kcc?tab=readme-ov-file#kcc">说明文档</a> - <a href="https://github.com/c'


=== remaining English-prose candidates ===

total candidates: 0
